supplier_id,branches supplier name,pricing supplier name,vendor supplier name,accreditation supplier name
fc597adf-5034-4897-b2fb-2bb5264d8bd4,"BARTOLETTI, KOEPP AND NIENOW","BARTOLETTI, KOEPP AND NIENOW","BARTOLETTI, KOEPP AND NIENOW","BARTOLETTI, KOEPP AND NIENOW"
2a0c8fb0-3e0b-4ca8-b66e-9e9397a26196,"BOGAN, REICHERT AND COLLIER","BOGAN, REICHERT AND COLLIER","BOGAN, REICHERT AND COLLIER","BOGAN, REICHERT AND COLLIER"
4b963011-e52c-47a2-982b-a9cb9e40023c,"BOYLE, KOEPP AND TURNER","BOYLE, KOEPP AND TURNER","BOYLE, KOEPP AND TURNER","BOYLE, KOEPP AND TURNER"
c268dc9e-1d48-46b0-b48f-54a0b399b86c,BRAUN INC,BRAUN INC,BRAUN INC,BRAUN INC
6f2f386f-9cab-4bdc-a0de-bc4e614426cf,CHRISTIANSEN INC,CHRISTIANSEN INC,CHRISTIANSEN INC,CHRISTIANSEN INC
4ce818e2-d681-4252-bf48-68de9ae13fbc,CORKERY INC,CORKERY INC,CORKERY INC,CORKERY INC
32d20341-774f-4c60-8bb8-4375b5f942d1,DIETRICH-BORER,DIETRICH-BORER,DIETRICH-BORER,DIETRICH-BORER
2cae7216-75fc-4ed4-b300-aab8130e7953,EMARD AND SONS,EMARD AND SONS,EMARD AND SONS,EMARD AND SONS
20e38d4b-8134-4973-802e-93f540878300,FEEST-MULLER,FEEST-MULLER,FEEST-MULLER,FEEST-MULLER
807d5cd5-987d-4092-a71d-999f45671863,HAGENES-BECHTELAR,HAGENES-BECHTELAR,HAGENES-BECHTELAR,HAGENES-BECHTELAR
8e08ce71-2b85-4f6f-83ea-21806980d5ca,"KERLUKE, TORP AND HEATHCOTE","KERLUKE, TORP AND HEATHCOTE","KERLUKE, TORP AND HEATHCOTE","KERLUKE, TORP AND HEATHCOTE"
6083edac-918f-438e-80ff-9cb069427b7c,LEFFLER AND SONS,LEFFLER AND SONS,LEFFLER AND SONS,LEFFLER AND SONS
ad515699-c740-46a1-9039-e89dcba82eec,LUETTGEN-GUTMANN,LUETTGEN-GUTMANN,LUETTGEN-GUTMANN,LUETTGEN-GUTMANN
ee09ebb5-93c8-405a-825e-d4918d6ced1a,MCGLYNN GROUP,MCGLYNN GROUP,MCGLYNN GROUP,MCGLYNN GROUP
1a742cc5-63d5-4849-8c29-e638ce07ceef,"MCGLYNN, BAILEY AND NIKOLAUS","MCGLYNN, BAILEY AND NIKOLAUS","MCGLYNN, BAILEY AND NIKOLAUS","MCGLYNN, BAILEY AND NIKOLAUS"
d5a256e1-1bef-4e6d-b7ad-fff4e262f197,O'HARA LLC,O'HARA LLC,O'HARA LLC,O'HARA LLC
fa85dd6c-c979-4f01-a65a-5a1166940e04,"STANTON, FADEL AND BOSCO","STANTON, FADEL AND BOSCO","STANTON, FADEL AND BOSCO","STANTON, FADEL AND BOSCO"
cdbc16ab-ba9e-4eee-86db-8705e78b9737,ZIEMANN-HERMANN,ZIEMANN-HERMANN,ZIEMANN-HERMANN,ZIEMANN-HERMANN
